"statistic","source","condition","score","p_value"
"ulm","EGR1","C1",0.636011496062354,0.524777318427682
"ulm","EGR1","C2",0.711992032023667,0.476479283509551
"ulm","EGR1","C3",0.702443101317184,0.482412297630234
"ulm","EGR1","C4",0.24548168106315,0.806086394217217
"ulm","EGR1","M2",0.399210642631428,0.689742915549641
"ulm","EGR1","M3",0.624446251458411,0.532342769221713
"ulm","EGR1","M4",0.751536026786067,0.452340321349084
"ulm","EGR1","M5",1.29094648809487,0.196739434447144
"ulm","ESR1","C1",-0.538624732952961,0.590152728313883
"ulm","ESR1","C2",-0.507758885260354,0.61162890126275
"ulm","ESR1","C3",-0.332192351494345,0.739748031739623
"ulm","ESR1","C4",-0.519970240312845,0.603090951305828
"ulm","ESR1","M2",-0.155454926375115,0.876464493871407
"ulm","ESR1","M3",-0.290677584779831,0.771301390773392
"ulm","ESR1","M4",0.50723775174023,0.611994456273909
"ulm","ESR1","M5",1.74718679823218,0.0806226332488014
"ulm","SP1","C1",-1.68844219051479,0.0913443481843666
"ulm","SP1","C2",-1.33438317386397,0.182095823835196
"ulm","SP1","C3",-1.56702036605331,0.117128168235599
"ulm","SP1","C4",-1.63527331325878,0.102009905625473
"ulm","SP1","M2",-0.841145200200519,0.40027818829705
"ulm","SP1","M3",-0.609891029843373,0.541941982307083
"ulm","SP1","M4",-0.753602262994089,0.451098311395253
"ulm","SP1","M5",0.179839403156796,0.85728074886496
"ulm","SP3","C1",-1.76469015034986,0.0776334463823213
"ulm","SP3","C2",-1.54894966470638,0.121412059895743
"ulm","SP3","C3",-1.68226637566072,0.0925351928492282
"ulm","SP3","C4",-1.27268929900576,0.203145370626945
"ulm","SP3","M2",-0.806935774736235,0.419714547710928
"ulm","SP3","M3",-0.883752859177177,0.376841884537453
"ulm","SP3","M4",-0.878354030691329,0.379763786249201
"ulm","SP3","M5",-0.840352946897837,0.400722103129239
"ulm","REL","C1",0.636011496062354,0.524777318427682
"ulm","REL","C2",0.711992032023667,0.476479283509551
"ulm","REL","C3",0.702443101317184,0.482412297630234
"ulm","REL","C4",0.24548168106315,0.806086394217217
"ulm","REL","M2",0.399210642631428,0.689742915549641
"ulm","REL","M3",0.624446251458411,0.532342769221713
"ulm","REL","M4",0.751536026786067,0.452340321349084
"ulm","REL","M5",1.29094648809487,0.196739434447144
"ulm","PAX3","C1",-1.85967794923955,0.0629480165718055
"ulm","PAX3","C2",-1.47856881143207,0.139273747201808
"ulm","PAX3","C3",-1.67666117217842,0.0936267726902827
"ulm","PAX3","C4",-1.55444929890959,0.120095521193729
"ulm","PAX3","M2",-0.741993950139514,0.458101045204654
"ulm","PAX3","M3",-0.625390978311095,0.531722707290479
"ulm","PAX3","M4",-0.490667969740034,0.6236675097217
"ulm","PAX3","M5",0.10243592819384,0.918411850893495
"ulm","SPI1","C1",-1.85967794923955,0.0629480165718055
"ulm","SPI1","C2",-1.47856881143207,0.139273747201808
"ulm","SPI1","C3",-1.67666117217842,0.0936267726902827
"ulm","SPI1","C4",-1.55444929890959,0.120095521193729
"ulm","SPI1","M2",-0.741993950139514,0.458101045204654
"ulm","SPI1","M3",-0.625390978311095,0.531722707290479
"ulm","SPI1","M4",-0.490667969740034,0.6236675097217
"ulm","SPI1","M5",0.10243592819384,0.918411850893495
"ulm","PPARA","C1",-0.0223434784430096,0.982174223689071
"ulm","PPARA","C2",-0.0221254138670457,0.982348168535697
"ulm","PPARA","C3",0.268896842139659,0.788012264392309
"ulm","PPARA","C4",0.344608082847385,0.730393205252414
"ulm","PPARA","M2",0.50759406912242,0.611744502955728
"ulm","PPARA","M3",0.241332897999328,0.809299967228972
"ulm","PPARA","M4",0.770899730022201,0.440776864828112
"ulm","PPARA","M5",1.22567125880913,0.220339046865913
"ulm","TFAP2A","C1",-0.604411084615582,0.545578271414899
"ulm","TFAP2A","C2",-0.680699758426271,0.496070572973929
"ulm","TFAP2A","C3",-1.08275741963777,0.278931157430864
"ulm","TFAP2A","C4",-0.73285439757408,0.463657139880849
"ulm","TFAP2A","M2",-1.11711075457066,0.263962441933198
"ulm","TFAP2A","M3",-0.965770712198634,0.334172387927591
"ulm","TFAP2A","M4",-1.84193345713779,0.0655019397754793
"ulm","TFAP2A","M5",-3.02501773020643,0.00248982400768492
"ulm","YBX1","C1",-0.636011496062354,0.524777318427682
"ulm","YBX1","C2",-0.711992032023667,0.476479283509551
"ulm","YBX1","C3",-0.702443101317184,0.482412297630234
"ulm","YBX1","C4",-0.24548168106315,0.806086394217217
"ulm","YBX1","M2",-0.399210642631428,0.689742915549641
"ulm","YBX1","M3",-0.624446251458411,0.532342769221713
"ulm","YBX1","M4",-0.751536026786067,0.452340321349084
"ulm","YBX1","M5",-1.29094648809487,0.196739434447144
"ulm","NCOA1","C1",0.604411084615582,0.545578271414899
"ulm","NCOA1","C2",0.680699758426271,0.496070572973929
"ulm","NCOA1","C3",1.08275741963777,0.278931157430864
"ulm","NCOA1","C4",0.73285439757408,0.463657139880849
"ulm","NCOA1","M2",1.11711075457066,0.263962441933198
"ulm","NCOA1","M3",0.965770712198634,0.334172387927591
"ulm","NCOA1","M4",1.84193345713779,0.0655019397754793
"ulm","NCOA1","M5",3.02501773020643,0.00248982400768492
"ulm","CEBPA","C1",-1.28027057353977,0.200467109206181
"ulm","CEBPA","C2",-1.22420485237886,0.22089158195689
"ulm","CEBPA","C3",-1.3135996300429,0.188998343028504
"ulm","CEBPA","C4",-1.26893669103705,0.204480667790344
"ulm","CEBPA","M2",-1.37900698683792,0.167910376252823
"ulm","CEBPA","M3",-1.05537922396409,0.291266616544017
"ulm","CEBPA","M4",-1.00934313686318,0.312824174929004
"ulm","CEBPA","M5",-0.273764650595508,0.784268749728844
"ulm","PITX2","C1",-1.7007120826758,0.0890149855816853
"ulm","PITX2","C2",-1.54457981203998,0.122466170718309
"ulm","PITX2","C3",-1.73986994274111,0.0818995896034666
"ulm","PITX2","C4",-1.52323701209699,0.127717644777555
"ulm","PITX2","M2",-1.11405902693485,0.265269297380466
"ulm","PITX2","M3",-1.05537922396409,0.291266616544018
"ulm","PITX2","M4",-1.56615074051984,0.117331568928886
"ulm","PITX2","M5",-1.08188414038706,0.279319049256985
"ulm","RARA","C1",0.636011496062354,0.524777318427682
"ulm","RARA","C2",0.711992032023667,0.476479283509551
"ulm","RARA","C3",0.702443101317184,0.482412297630234
"ulm","RARA","C4",0.24548168106315,0.806086394217217
"ulm","RARA","M2",0.399210642631428,0.689742915549641
"ulm","RARA","M3",0.624446251458411,0.532342769221713
"ulm","RARA","M4",0.751536026786067,0.452340321349084
"ulm","RARA","M5",1.29094648809487,0.196739434447144
"ulm","CEBPD","C1",0.604411084615582,0.545578271414899
"ulm","CEBPD","C2",0.680699758426271,0.496070572973929
"ulm","CEBPD","C3",1.08275741963777,0.278931157430864
"ulm","CEBPD","C4",0.73285439757408,0.463657139880849
"ulm","CEBPD","M2",1.11711075457066,0.263962441933198
"ulm","CEBPD","M3",0.965770712198634,0.334172387927591
"ulm","CEBPD","M4",1.84193345713779,0.0655019397754793
"ulm","CEBPD","M5",3.02501773020643,0.00248982400768492
"ulm","DBP","C1",-1.28027057353977,0.200467109206181
"ulm","DBP","C2",-1.22420485237886,0.22089158195689
"ulm","DBP","C3",-1.3135996300429,0.188998343028504
"ulm","DBP","C4",-1.26893669103705,0.204480667790344
"ulm","DBP","M2",-1.37900698683792,0.167910376252823
"ulm","DBP","M3",-1.05537922396409,0.291266616544017
"ulm","DBP","M4",-1.00934313686318,0.312824174929004
"ulm","DBP","M5",-0.273764650595508,0.784268749728844
"ulm","NR1H3","C1",-0.757371516553768,0.448837601229314
"ulm","NR1H3","C2",-0.72482737151273,0.468567716269436
"ulm","NR1H3","C3",-0.538804324533612,0.590028792265709
"ulm","NR1H3","C4",-0.451202458995811,0.651849276737227
"ulm","NR1H3","M2",-0.381663008841258,0.702716015280913
"ulm","NR1H3","M3",-0.412245187344906,0.680164812900434
"ulm","NR1H3","M4",0.0467160338800334,0.962740088780099
"ulm","NR1H3","M5",0.842685208832654,0.399416137914896
"ulm","FOS","C1",-0.752796005306403,0.451582721295877
"ulm","FOS","C2",-0.588683580086956,0.55608121825908
"ulm","FOS","C3",-0.733503815212525,0.463261112591297
"ulm","FOS","C4",-0.903485035324925,0.366281070668911
"ulm","FOS","M2",-0.505465549665968,0.613238310225614
"ulm","FOS","M3",-0.304706231858426,0.760593557594293
"ulm","FOS","M4",-0.575972069182196,0.564641531465761
"ulm","FOS","M5",0.147815721974211,0.882489918973964
"ulm","JUN","C1",0.636011496062354,0.524777318427682
"ulm","JUN","C2",0.711992032023667,0.476479283509551
"ulm","JUN","C3",0.702443101317184,0.482412297630234
"ulm","JUN","C4",0.24548168106315,0.806086394217217
"ulm","JUN","M2",0.399210642631428,0.689742915549641
"ulm","JUN","M3",0.624446251458411,0.532342769221713
"ulm","JUN","M4",0.751536026786067,0.452340321349084
"ulm","JUN","M5",1.29094648809487,0.196739434447144
"ulm","NR1H4","C1",0.604411084615582,0.545578271414899
"ulm","NR1H4","C2",0.680699758426271,0.496070572973929
"ulm","NR1H4","C3",1.08275741963777,0.278931157430864
"ulm","NR1H4","C4",0.73285439757408,0.463657139880849
"ulm","NR1H4","M2",1.11711075457066,0.263962441933198
"ulm","NR1H4","M3",0.965770712198634,0.334172387927591
"ulm","NR1H4","M4",1.84193345713779,0.0655019397754793
"ulm","NR1H4","M5",3.02501773020643,0.00248982400768492
"ulm","HIF1A","C1",0.636011496062354,0.524777318427682
"ulm","HIF1A","C2",0.711992032023667,0.476479283509551
"ulm","HIF1A","C3",0.702443101317184,0.482412297630234
"ulm","HIF1A","C4",0.24548168106315,0.806086394217217
"ulm","HIF1A","M2",0.399210642631428,0.689742915549641
"ulm","HIF1A","M3",0.624446251458411,0.532342769221713
"ulm","HIF1A","M4",0.751536026786067,0.452340321349084
"ulm","HIF1A","M5",1.29094648809487,0.196739434447144
"ulm","EPAS1","C1",-1.7007120826758,0.0890149855816853
"ulm","EPAS1","C2",-1.54457981203998,0.122466170718309
"ulm","EPAS1","C3",-1.73986994274111,0.0818995896034666
"ulm","EPAS1","C4",-1.52323701209699,0.127717644777555
"ulm","EPAS1","M2",-1.11405902693485,0.265269297380466
"ulm","EPAS1","M3",-1.05537922396409,0.291266616544018
"ulm","EPAS1","M4",-1.56615074051984,0.117331568928886
"ulm","EPAS1","M5",-1.08188414038706,0.279319049256985
"ulm","ESR2","C1",0.604411084615582,0.545578271414899
"ulm","ESR2","C2",0.680699758426271,0.496070572973929
"ulm","ESR2","C3",1.08275741963777,0.278931157430864
"ulm","ESR2","C4",0.73285439757408,0.463657139880849
"ulm","ESR2","M2",1.11711075457066,0.263962441933198
"ulm","ESR2","M3",0.965770712198634,0.334172387927591
"ulm","ESR2","M4",1.84193345713779,0.0655019397754793
"ulm","ESR2","M5",3.02501773020643,0.00248982400768492
"ulm","CEBPB","C1",-0.775141898795614,0.438266379950204
"ulm","CEBPB","C2",-0.610810957015938,0.541332740150126
"ulm","CEBPB","C3",-0.464583552412601,0.642235542726113
"ulm","CEBPB","C4",-0.558842047023023,0.576276736105023
"ulm","CEBPB","M2",0.00215772732463014,0.998278408824213
"ulm","CEBPB","M3",-0.0633590217044323,0.949481347483439
"ulm","CEBPB","M4",0.194964608633607,0.845422937003949
"ulm","CEBPB","M5",1.37357914544825,0.169590122377571
"ulm","CEBPG","C1",0.604411084615582,0.545578271414899
"ulm","CEBPG","C2",0.680699758426271,0.496070572973929
"ulm","CEBPG","C3",1.08275741963777,0.278931157430864
"ulm","CEBPG","C4",0.73285439757408,0.463657139880849
"ulm","CEBPG","M2",1.11711075457066,0.263962441933198
"ulm","CEBPG","M3",0.965770712198634,0.334172387927591
"ulm","CEBPG","M4",1.84193345713779,0.0655019397754793
"ulm","CEBPG","M5",3.02501773020643,0.00248982400768492
"ulm","TP53","C1",-1.04796006809643,0.294671603124801
"ulm","TP53","C2",-1.12198420069097,0.261884684745335
"ulm","TP53","C3",-1.08140265454741,0.279533071692703
"ulm","TP53","C4",-1.16659543421585,0.243389822535826
"ulm","TP53","M2",-0.752423851490979,0.451806415270787
"ulm","TP53","M3",-0.565747754384755,0.571572583488233
"ulm","TP53","M4",-0.948680737343137,0.342796227351924
"ulm","TP53","M5",-0.676317332555687,0.49884820588125
"ulm","JUND","C1",0.636011496062354,0.524777318427682
"ulm","JUND","C2",0.711992032023667,0.476479283509551
"ulm","JUND","C3",0.702443101317184,0.482412297630234
"ulm","JUND","C4",0.24548168106315,0.806086394217217
"ulm","JUND","M2",0.399210642631428,0.689742915549641
"ulm","JUND","M3",0.624446251458411,0.532342769221713
"ulm","JUND","M4",0.751536026786067,0.452340321349084
"ulm","JUND","M5",1.29094648809487,0.196739434447144
"ulm","NKX2-5","C1",-1.04796006809643,0.294671603124801
"ulm","NKX2-5","C2",-1.12198420069097,0.261884684745335
"ulm","NKX2-5","C3",-1.08140265454741,0.279533071692703
"ulm","NKX2-5","C4",-1.16659543421585,0.243389822535826
"ulm","NKX2-5","M2",-0.752423851490979,0.451806415270787
"ulm","NKX2-5","M3",-0.565747754384755,0.571572583488233
"ulm","NKX2-5","M4",-0.948680737343137,0.342796227351924
"ulm","NKX2-5","M5",-0.676317332555687,0.49884820588125
"ulm","CREB1","C1",-0.604411084615582,0.545578271414899
"ulm","CREB1","C2",-0.680699758426271,0.496070572973929
"ulm","CREB1","C3",-1.08275741963777,0.278931157430864
"ulm","CREB1","C4",-0.73285439757408,0.463657139880849
"ulm","CREB1","M2",-1.11711075457066,0.263962441933198
"ulm","CREB1","M3",-0.965770712198634,0.334172387927591
"ulm","CREB1","M4",-1.84193345713779,0.0655019397754793
"ulm","CREB1","M5",-3.02501773020643,0.00248982400768492
"ulm","TOX3","C1",0.604411084615582,0.545578271414899
"ulm","TOX3","C2",0.680699758426271,0.496070572973929
"ulm","TOX3","C3",1.08275741963777,0.278931157430864
"ulm","TOX3","C4",0.73285439757408,0.463657139880849
"ulm","TOX3","M2",1.11711075457066,0.263962441933198
"ulm","TOX3","M3",0.965770712198634,0.334172387927591
"ulm","TOX3","M4",1.84193345713779,0.0655019397754793
"ulm","TOX3","M5",3.02501773020643,0.00248982400768492
"ulm","DNMT1","C1",-1.7007120826758,0.0890149855816853
"ulm","DNMT1","C2",-1.54457981203998,0.122466170718309
"ulm","DNMT1","C3",-1.73986994274111,0.0818995896034666
"ulm","DNMT1","C4",-1.52323701209699,0.127717644777555
"ulm","DNMT1","M2",-1.11405902693485,0.265269297380466
"ulm","DNMT1","M3",-1.05537922396409,0.291266616544018
"ulm","DNMT1","M4",-1.56615074051984,0.117331568928886
"ulm","DNMT1","M5",-1.08188414038706,0.279319049256985
"ulm","PPARG","C1",-0.636011496062354,0.524777318427682
"ulm","PPARG","C2",-0.711992032023667,0.476479283509551
"ulm","PPARG","C3",-0.702443101317184,0.482412297630234
"ulm","PPARG","C4",-0.24548168106315,0.806086394217217
"ulm","PPARG","M2",-0.399210642631428,0.689742915549641
"ulm","PPARG","M3",-0.624446251458411,0.532342769221713
"ulm","PPARG","M4",-0.751536026786067,0.452340321349084
"ulm","PPARG","M5",-1.29094648809487,0.196739434447144
"ulm","NR1H2","C1",-0.0223434784430096,0.982174223689071
"ulm","NR1H2","C2",-0.0221254138670457,0.982348168535697
"ulm","NR1H2","C3",0.268896842139659,0.788012264392309
"ulm","NR1H2","C4",0.344608082847385,0.730393205252414
"ulm","NR1H2","M2",0.50759406912242,0.611744502955728
"ulm","NR1H2","M3",0.241332897999328,0.809299967228972
"ulm","NR1H2","M4",0.770899730022201,0.440776864828112
"ulm","NR1H2","M5",1.22567125880913,0.220339046865913
"ulm","ATF4","C1",-1.7007120826758,0.0890149855816853
"ulm","ATF4","C2",-1.54457981203998,0.122466170718309
"ulm","ATF4","C3",-1.73986994274111,0.0818995896034666
"ulm","ATF4","C4",-1.52323701209699,0.127717644777555
"ulm","ATF4","M2",-1.11405902693485,0.265269297380466
"ulm","ATF4","M3",-1.05537922396409,0.291266616544018
"ulm","ATF4","M4",-1.56615074051984,0.117331568928886
"ulm","ATF4","M5",-1.08188414038706,0.279319049256985
"ulm","HNF4A","C1",-1.70669168706858,0.0878972675101006
"ulm","HNF4A","C2",-1.35245287938041,0.176248109220662
"ulm","HNF4A","C3",-1.34740810180159,0.177866428039989
"ulm","HNF4A","C4",-1.35382412520181,0.175810129370743
"ulm","HNF4A","M2",-0.426648711857492,0.66964050570026
"ulm","HNF4A","M3",-0.41282232832096,0.679741892386346
"ulm","HNF4A","M4",-0.124109352463539,0.901230130943916
"ulm","HNF4A","M5",1.18068625233212,0.237743570444038
"ulm","RELA","C1",0.636011496062354,0.524777318427682
"ulm","RELA","C2",0.711992032023667,0.476479283509551
"ulm","RELA","C3",0.702443101317184,0.482412297630234
"ulm","RELA","C4",0.24548168106315,0.806086394217217
"ulm","RELA","M2",0.399210642631428,0.689742915549641
"ulm","RELA","M3",0.624446251458411,0.532342769221713
"ulm","RELA","M4",0.751536026786067,0.452340321349084
"ulm","RELA","M5",1.29094648809487,0.196739434447144
"ulm","NFKB1","C1",0.636011496062354,0.524777318427682
"ulm","NFKB1","C2",0.711992032023667,0.476479283509551
"ulm","NFKB1","C3",0.702443101317184,0.482412297630234
"ulm","NFKB1","C4",0.24548168106315,0.806086394217217
"ulm","NFKB1","M2",0.399210642631428,0.689742915549641
"ulm","NFKB1","M3",0.624446251458411,0.532342769221713
"ulm","NFKB1","M4",0.751536026786067,0.452340321349084
"ulm","NFKB1","M5",1.29094648809487,0.196739434447144
"ulm","GATA4","C1",-1.85967794923955,0.0629480165718055
"ulm","GATA4","C2",-1.47856881143207,0.139273747201808
"ulm","GATA4","C3",-1.67666117217842,0.0936267726902827
"ulm","GATA4","C4",-1.55444929890959,0.120095521193729
"ulm","GATA4","M2",-0.741993950139514,0.458101045204654
"ulm","GATA4","M3",-0.625390978311095,0.531722707290479
"ulm","GATA4","M4",-0.490667969740034,0.6236675097217
"ulm","GATA4","M5",0.10243592819384,0.918411850893495
"ulm","KLF2","C1",-0.636011496062354,0.524777318427682
"ulm","KLF2","C2",-0.711992032023667,0.476479283509551
"ulm","KLF2","C3",-0.702443101317184,0.482412297630234
"ulm","KLF2","C4",-0.24548168106315,0.806086394217217
"ulm","KLF2","M2",-0.399210642631428,0.689742915549641
"ulm","KLF2","M3",-0.624446251458411,0.532342769221713
"ulm","KLF2","M4",-0.751536026786067,0.452340321349084
"ulm","KLF2","M5",-1.29094648809487,0.196739434447144
"ulm","KLF5","C1",0.636011496062354,0.524777318427682
"ulm","KLF5","C2",0.711992032023667,0.476479283509551
"ulm","KLF5","C3",0.702443101317184,0.482412297630234
"ulm","KLF5","C4",0.24548168106315,0.806086394217217
"ulm","KLF5","M2",0.399210642631428,0.689742915549641
"ulm","KLF5","M3",0.624446251458411,0.532342769221713
"ulm","KLF5","M4",0.751536026786067,0.452340321349084
"ulm","KLF5","M5",1.29094648809487,0.196739434447144
"ulm","PPARD","C1",-0.636011496062354,0.524777318427682
"ulm","PPARD","C2",-0.711992032023667,0.476479283509551
"ulm","PPARD","C3",-0.702443101317184,0.482412297630234
"ulm","PPARD","C4",-0.24548168106315,0.806086394217217
"ulm","PPARD","M2",-0.399210642631428,0.689742915549641
"ulm","PPARD","M3",-0.624446251458411,0.532342769221713
"ulm","PPARD","M4",-0.751536026786067,0.452340321349084
"ulm","PPARD","M5",-1.29094648809487,0.196739434447144
"ulm","ETS1","C1",0.636011496062354,0.524777318427682
"ulm","ETS1","C2",0.711992032023667,0.476479283509551
"ulm","ETS1","C3",0.702443101317184,0.482412297630234
"ulm","ETS1","C4",0.24548168106315,0.806086394217217
"ulm","ETS1","M2",0.399210642631428,0.689742915549641
"ulm","ETS1","M3",0.624446251458411,0.532342769221713
"ulm","ETS1","M4",0.751536026786067,0.452340321349084
"ulm","ETS1","M5",1.29094648809487,0.196739434447144
"ulm","CLOCK","C1",0.636011496062354,0.524777318427682
"ulm","CLOCK","C2",0.711992032023667,0.476479283509551
"ulm","CLOCK","C3",0.702443101317184,0.482412297630234
"ulm","CLOCK","C4",0.24548168106315,0.806086394217217
"ulm","CLOCK","M2",0.399210642631428,0.689742915549641
"ulm","CLOCK","M3",0.624446251458411,0.532342769221713
"ulm","CLOCK","M4",0.751536026786067,0.452340321349084
"ulm","CLOCK","M5",1.29094648809487,0.196739434447144
"ulm","KLF4","C1",-0.636011496062354,0.524777318427682
"ulm","KLF4","C2",-0.711992032023667,0.476479283509551
"ulm","KLF4","C3",-0.702443101317184,0.482412297630234
"ulm","KLF4","C4",-0.24548168106315,0.806086394217217
"ulm","KLF4","M2",-0.399210642631428,0.689742915549641
"ulm","KLF4","M3",-0.624446251458411,0.532342769221713
"ulm","KLF4","M4",-0.751536026786067,0.452340321349084
"ulm","KLF4","M5",-1.29094648809487,0.196739434447144
"ulm","PITX3","C1",0.636011496062354,0.524777318427682
"ulm","PITX3","C2",0.711992032023667,0.476479283509551
"ulm","PITX3","C3",0.702443101317184,0.482412297630234
"ulm","PITX3","C4",0.24548168106315,0.806086394217217
"ulm","PITX3","M2",0.399210642631428,0.689742915549641
"ulm","PITX3","M3",0.624446251458411,0.532342769221713
"ulm","PITX3","M4",0.751536026786067,0.452340321349084
"ulm","PITX3","M5",1.29094648809487,0.196739434447144
"ulm","AP1","C1",0.636011496062354,0.524777318427682
"ulm","AP1","C2",0.711992032023667,0.476479283509551
"ulm","AP1","C3",0.702443101317184,0.482412297630234
"ulm","AP1","C4",0.24548168106315,0.806086394217217
"ulm","AP1","M2",0.399210642631428,0.689742915549641
"ulm","AP1","M3",0.624446251458411,0.532342769221713
"ulm","AP1","M4",0.751536026786067,0.452340321349084
"ulm","AP1","M5",1.29094648809487,0.196739434447144
"ulm","NFKB","C1",0.877146200676462,0.380419378216358
"ulm","NFKB","C2",0.984823931364045,0.324724296399507
"ulm","NFKB","C3",1.26238881450325,0.206825879845343
"ulm","NFKB","C4",0.691809230905322,0.489066396243245
"ulm","NFKB","M2",1.07223786116741,0.283628122635245
"ulm","NFKB","M3",1.1245032613792,0.260815144654283
"ulm","NFKB","M4",1.83395446366445,0.0666778716062596
"ulm","NFKB","M5",3.05214685678154,0.00227554468407341
